"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","neg_logPval","donorName","meta_p_value","max_log2FC","count","adjusted_meta_p_value"
"233","AC005264.1",0.574869892066665,1.48275308507442,0.01,0.006,1,0.240430436269163,"AIDA029",0.0150543772077502,4.30664234371503,48,0.0260850593599735
"235","AC005280.2",0.000353980138089448,2.25682661669738,0.038,0.009,1,3.45102110565825,"AIDA018",3.61896806304051e-13,4.2248451552508,119,9.81909705238051e-12
"236","AC005288.1",0.710622071517813,0.358657839478514,0.012,0.009,1,0.148361307697337,"AIDA181",2.90185863248439e-05,3.9068811503252,34,0.000174371091978496
"238","AC005306.1",0.379934191477481,-1.06106846720924,0.005,0.013,1,0.420291621154897,"AIDA157",0.0278421445242064,3.71198460182564,62,0.0430368021483825
"239","AC005329.1",0.0958292521727729,1.86054463866193,0.011,0.002,1,1.01850190096274,"AIDA090",1.01330480005888e-05,4.63198162377411,21,7.17042891752523e-05
"240","AC005332.1",0.0664411904379468,1.14578891048558,0.045,0.021,1,1.1775625948239,"AIDA081",0.00935901456822081,-2.99276679910609,107,0.0178241238443161
"242","AC005332.4",0.380978545881753,0.618895805570166,0.103,0.075,1,0.419099480144618,"AIDA190",0.00337114345730945,2.32606910486056,119,0.00793826250354712
"245","AC005332.7",0.0645025428922431,-2.67610477704828,0,0.011,1,1.19042316377868,"AIDA012",5.09310041948079e-06,-6.21965791547548,3,3.97033570515828e-05
"249","AC005363.2",0.0866017597718891,-2.66559979839585,0.001,0.01,1,1.06247328290811,"AIDA161",4.15013957251215e-06,-4.34607191084454,42,3.33259971195833e-05
"250","AC005391.1",0.00158705889394631,-4.66709431880835,0,0.013,1,2.79940695677299,"AIDA098",0.00158705889394631,-4.66709431880835,1,0.00437058161054114
"252","AC005476.2",0.0241722818441765,-3.88570571358764,0,0.014,1,1.61668235060358,"AIDA084",0.0138868966768553,-3.88570571358764,2,0.0244669109307966
"253","AC005480.1",0.00679761290796546,2.56763634350839,0.026,0.004,1,2.1676435700738,"AIDA125",0.0134530777278379,2.56763634350839,2,0.023829733334789
"254","AC005481.1",0.00644635383052922,3.75569455687933,0.013,0.001,1,2.19068586040776,"AIDA166",0.00644635383052922,3.75569455687933,1,0.0131485099960779
"255","AC005498.2",0.119890310692748,1.63401138251179,0.013,0.003,1,0.921215914338269,"AIDA116",0.0157025090700312,-2.78021300747218,3,0.0269570050573193
"256","AC005498.3",0.423984416152698,-1.74096825431123,0.005,0.014,1,0.372650105914978,"AIDA084",0.00196773627968695,-3.54726348492915,15,0.00516693226372577
"257","AC005519.1",0.0447451849698735,3.36821811854369,0.014,0.001,1,1.34925369227039,"AIDA002",0.00144137225200184,-3.83176740066557,3,0.00408367842368352
"262","AC005532.1",0.00212060836745451,4.44044189042202,0.011,0,1,2.67353952929483,"AIDA060",0.00415752875034383,4.44044189042202,5,0.00934388758484635
"263","AC005534.1",0.836588346564015,0.361978293264273,0.012,0.01,1,0.0774881893109619,"AIDA057",2.30451165872232e-06,5.29994926848882,13,1.99618459864693e-05
"265","AC005540.1",0.00349417226731472,-2.42900031150798,0.003,0.021,1,2.45665568753284,"AIDA105",0.000217200805452745,3.4786167933483,39,0.000897790980484812
"266","AC005562.1",0.80828578563897,-1.02790999929285,0.008,0.01,1,0.0924350585549556,"AIDA161",0.00360965847900759,-6.34515252925476,118,0.00836281760649052
"270","AC005606.2",0.301525004878644,-1.0478199618044,0.003,0.01,1,0.520676666838836,"AIDA191",0.00599715522665733,4.9631701613285,5,0.0124311141055319
"271","AC005614.1",0.466629440668669,-0.584941074454911,0.006,0.013,1,0.331027864092219,"AIDA057",0.00166103680864418,-4.15131646787894,27,0.00450928902859494
"272","AC005618.1",0.221424652468886,2.28150535539406,0.01,0,1,0.654774028284864,"AIDA032",0.000453047928638164,-4.75881414742127,3,0.00163350484875071
"274","AC005632.3",0.0459126693664987,2.4832716638662,0.012,0.002,1,1.33806745658185,"AIDA035",0.00528213970981791,-3.96805765894119,107,0.0113125609654089
"275","AC005632.6",0.0440494347069198,-3.44686415390994,0.001,0.013,1,1.35605966058316,"AIDA098",0.00399906283925881,-3.87400549725115,2,0.00907569235456673
"277","AC005674.2",0.311575281589369,1.33153645298927,0.013,0.005,1,0.506437003808053,"AIDA125",4.01355196810054e-05,-3.46336770569563,73,0.000228286148585596
"278","AC005682.2",0.33860571341659,1.28596653628203,0.014,0,1,0.470305718157492,"AIDA174",0.0228149263366878,-2.60857566124319,6,0.0367350673580473
"281","AC005697.2",0.397779092670339,1.33288845792497,0.024,0,1,0.400358047195798,"AIDA172",0.00733676504918823,5.10208918586531,3,0.0146202454913294
"283","AC005726.2",0.0104554941877569,-4.07723960735245,0,0.016,1,1.98065543506596,"AIDA062",0.0181900165915424,-4.07723960735245,3,0.0304171427656514
"284","AC005726.3",0.42146472849917,0.603461682207407,0.019,0,1,0.375238764714531,"AIDA188",0.0191250402283413,3.02718331760297,7,0.0316869287879161
"287","AC005736.1",0.124050250925561,2.43377879550418,0.01,0,1,0.90640235291151,"AIDA008",0.00167012264998828,-4.37242530287201,2,0.00452856217869484
"289","AC005740.4",0.00608038313434278,4.32094613026146,0.011,0,1,2.21606905429824,"AIDA014",0.00608038313434278,4.32094613026146,1,0.0125585182188435
"293","AC005785.1",0.361326457231455,-0.320629540271083,0.036,0.051,1,0.442100237134039,"AIDA029",0.00940234357577003,-3.10957722423444,12,0.0178943977334482
"295","AC005803.1",0.49509613593776,0.757182453266851,0.01,0.006,1,0.305310463180649,"AIDA121",0.0011187069274449,4.30289871820987,6,0.00333540398738201
"297","AC005837.1",0.398175392095248,0.861039821402495,0.016,0.009,1,0.399925583604134,"AIDA019",0.016742447107312,-4.1010085621664,48,0.0284061672267502
